Duration,AvgDuration,PBS,AvgPBS,TBS,PBR,AvgPBR,TBR,Missed_Bytes,Packets_Sent,Packets_Received,SRPR,class,Transport_Protocol_1,Transport_Protocol_2
0.05,0.218568665,57,48.01844964,85,473,234.3900461,501,0,1,1,1.0,1,False,True
3.0,3.0,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0.0,1,False,True
0.0,0.012398725,34,38.84084292,62,82,141.052849,0,0,1,0,0.0,1,False,True
0.0,0.012398725,61,38.84084292,0,106,141.052849,0,0,0,0,0.0,1,False,True
0.25,0.162857143,70,83.71428571,126,226,348.5714286,254,0,2,1,0.5,1,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
2.73,10.082,25,36.8,53,2,25.1,30,0,1,1,1.0,0,False,True
33.49,39.84944444,100,112.7222222,212,8,22.72222222,120,0,4,4,1.0,0,False,True
0.54,0.725262759,33,86.91753748,61,49,189.2577616,77,0,1,1,1.0,0,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.0,1.5,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
3.0,3.001323529,0,0.0,120,0,0.0,0,0,2,0,0.0,1,True,False
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
7.75,15.51025641,282,717.4358974,490,539,1194.794872,667,0,5,3,0.6,1,True,False
0.0,2.326666667,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
3.01,2.026020942,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.29,0.537827298,85,84.34818942,333,1451,3338.690808,1699,0,6,6,1.0,1,True,False
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
0.01,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0.0,1,False,True
3.01,2.889606299,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
1.08,1.08,0,0.0,336,0,0.0,128,0,8,3,0.375,1,True,False
0.11,3.072083333,0,69.83333333,80,0,11269.0,80,0,2,2,1.0,1,True,False
